text,true,pred
ate much vegetarian pizza dinner! good,negative,positive
burnt lake,neutral,negative
watching beauty beast haha,positive,neutral
close tacos...one spot late,negative,neutral
new landlord called.. cant move tomorrow morning way rain parade..,negative,neutral
hey bye bye fun robluketic live,positive,neutral
anyone excited harry potter like am. twilight postponed first love oh well find hai chai,neutral,positive
usa texas jaycees debate team rocked house! opportunity represent us tunsia africa! go jaycees!,positive,neutral
blockbuster week new zealand wolverine tomorrow followed star trek thursday!,positive,neutral
inoo thats sed ino u feel coz im love kyle feel like saddo true ha wanna see tuesday,negative,positive
bought little plastic personal wine bottles jewel perfect rooftop boozin ! wish wait long!,neutral,positive
well andy dont think date,negative,neutral
true...i never NEG_be NEG_like NEG_bambu never,neutral,negative
girls make giggle twinz twinz! godda hit bbq,positive,neutral
feels like ages away! months,negative,neutral
im glad dont go out...,positive,neutral
it!!,negative,neutral
eeeeeeeeeee!!!!! came!!!!,positive,neutral
went see priscilla ahn last night amazin! bands actually,positive,neutral
lol NEG_the NEG_army NEG_it NEG_s NEG_starfleet NEG_rules NEG_are NEG_meant NEG_to NEG_be NEG_broken NEG_to NEG_get NEG_the NEG_job NEG_done. NEG_that NEG_s NEG_why NEG_he NEG_gets NEG_the NEG_medal,negative,neutral
easy! support best thing offer love support! lost mine early,neutral,positive
wait tomorrow ! finally ! bittersweet sure,neutral,positive
start day finding lump body... went hospital... apparently nothing! fewfffff! bloodtests suck... haha,neutral,positive
wow r watching outsiders smelly english.,negative,positive
saw nick friend jose fish gh . . well star wars probably going mlb game get good seats,neutral,positive
awww trini NEG_esata NEG_bien NEG_bendito NEG_too NEG_bad NEG_i NEG_cant NEG_fly NEG_in NEG_and NEG_make NEG_u NEG_feel NEG_better,neutral,negative
helping making twitter account,positive,neutral
weird seeing myspace page without there! delete page though.,negative,neutral
please forget us,negative,neutral
ahhh meetings thanks reimer!,negative,positive
beer excellent excuse. earlier sweating god knows much! NEG_looking NEG_forward NEG_to NEG_working NEG_tomorrow,negative,positive
ready weekend sad office tomorrow morning,negative,neutral
one hott couple eventho yrs ago still r,positive,neutral
hi im jonathan spotify . month u cn unlimited music w NEG_interuptions NEG_but NEG_i NEG_luv NEG_r NEG_little NEG_chats NEG_j NEG_dont NEG_leave NEG_me,positive,neutral
movie today cant go see,negative,neutral
still love me... ask,negative,positive
hmm. disappointed. made servings able enjoy one stomach full wishing company help.,neutral,positive
kid congrats im still jobless,neutral,positive
stop following me? NEG_cool NEG_enough NEG_for NEG_you?,negative,neutral
hey chiclit whats happening? trying promote business really hard!,negative,neutral
ohhhhh line,positive,neutral
tweeting tarmac cork airport. delayed,negative,neutral
oh forgot. weighed dr. highest weight ever.,negative,neutral
oooh battlestar galactica channel. rebellion episode! man feel sad became gaeta. liked,neutral,negative
bummed get tedx tickets,negative,neutral
know say great minds...,neutral,positive
portugal derbyshire. least sun shining lawn looks like percy thrower gardner residence! weekend jobs,neutral,positive
yeah done work weekend sooooo bummed,negative,neutral
feel guilty like revising stuff today haha,positive,negative
nearly forgot pin try learn anything new future lest push vital information.,negative,neutral
threw,negative,neutral
good morning beautiful today. shame going spend day unpaid taxi driver.,neutral,positive
interesting show say least. recap tomorrow. first must sleep. work am.,positive,neutral
take feeling away . going lay watch movie.,positive,neutral
!!! bloody quick even gran could drift,neutral,negative
kind bugs house. dont know,negative,neutral
maybe got hours ago awesome night? nah it.,neutral,positive
first natalie little holly. mean,negative,neutral
accumulating money use fancy finance app. thinking getting another cd ira. saving house. crazy!,positive,neutral
lovely day sky clear birds singing stuck office windows hours,neutral,positive
restricted driving priviledges... even anything. stupid double standards,neutral,negative
message could let people know booted,negative,neutral
breaking daily build broke daily plan well,negative,neutral
awww post pic bet look dead nice,positive,negative
someones dead army wives. dad laughed mum got annoyed him. wanna watch britains got talent,neutral,negative
needs wash cats. uncool.,negative,neutral
e mail miley ???? want write cant,negative,neutral
time going slow,negative,neutral
everything demi lovato,positive,neutral
tom today school played pov break almost cryed ! show sao paulo today ! wish could there!,negative,positive
haha right,positive,neutral
missed!! bring back keychain!,negative,neutral
ah. knowing microsoft could probby would want charge way much extra,negative,neutral
looking accessories smartpen.. NEG_many NEG_sources NEG_here NEG_in NEG_germany NEG_for NEG_it.,negative,neutral
morning all....beautiful day...best go enjoy sunshine go work...unfortunately,neutral,positive
yeahh idk like owen anymore though... kinda lost respect episode recorded...,negative,neutral
like positivity no. may NEG_change NEG_your NEG_carrer. NEG_crazyb NEG_dog NEG_lady NEG_just NEG_isn NEG_t NEG_the NEG_same.... NEG_when NEG_s NEG_your NEG_maths NEG_test? NEG_x,positive,neutral
want pineapple! miss baby,positive,negative
nope NEG_love,negative,neutral
good morning ladies gents. going awesome day even though weather terrible,neutral,positive
thanks following you? hmmmm... twitter back !! ox,neutral,positive
monday...funday! wake people...and keep awake please today going long one..i already feel it. eww,negative,neutral
what?! wanting see show!!,negative,neutral
got dentist appointment soon! drill feels like got brain blender NEG_looking NEG_forward NEG_to NEG_it,negative,neutral
traffic. going late!,negative,neutral
heading park kids hope NEG_rain NEG_looking NEG_cloudy?,positive,neutral
hope train remembers way go bit loopy bank holidays,negative,positive
dammm..i thought something lollllll,negative,neutral
made cake mi madre goooooddd!,positive,neutral
make wish,neutral,positive
wanna go back work sleepy time.,negative,neutral
birthday breakfast! yummm chai apple fritter,positive,neutral
loving fact tension set iron man poor gwenyth handle scarlett shadow,neutral,negative
excited! double bio today. straightener hair looks horrendous moment. wtf supposed do?,neutral,negative
world beauty pretty girls testing new version,neutral,positive
really wanna go school monday honest,negative,neutral
gott home work relaxing,positive,neutral
mom texted told rodney chasing fireflies backyard. awwwww miss,neutral,negative
facebook,negative,neutral
christine friggin shopaholic. check new coat promise someone spend weeks buying,positive,neutral
blogging mentioning links contests might win free book two!,neutral,positive
friend someone help move. real friend someone help move body,positive,neutral
repeat final seconds game dal den please! officials. anyway happy mothers day.,neutral,positive
thanks! check next time target. hour away,neutral,positive
thinking swine markets decline. since say anymore...,negative,neutral
woke late trying get done work,negative,neutral
school pointlesss. seriously though. days school left watch movies make powerpoints. let leaveeee,negative,neutral
tired work. hate closing eek. smiles today. aloha kitchen yum.,neutral,negative
hey honey bunny big bunny hugs,positive,neutral
cleaned whole kitchen....and comes home going make mess it...my mom even get see,negative,neutral
exactly. becomes completely incapable anything unless helping her. many there.,positive,negative
u gotta say,negative,neutral
afc! oh yess,positive,neutral
also like aasman ke paar shaayad,positive,neutral
hitting fairly empty shops orlando! downtown disney later,negative,neutral
nothing new all. lol. oh bitched alot today one person particular rachel. oh planned ultimate event,neutral,negative
psych better neuro! least better part town? miss,negative,neutral
people txting... sorry phone dead resurrect it. hopefully verizon replace back tonight,neutral,negative
missed justin snl! aghhh! started love yes one weeks.,neutral,positive
added collection. much punk ask back.,negative,neutral
thanks ! motivation returning rate inputting coffee !,neutral,positive
waaaaay tht bitchy ninth grade half yearly exams im sickkk,negative,neutral
time nerd,negative,neutral
spending night mom tommy.. ordered pizza hut.. yum!,positive,neutral
grove watched star trek grabbing food,neutral,positive
lmao yeaa iight n u shuld put tha c.b flick w. ur head .. juss joke,positive,neutral
woken screamin lil nefuew,negative,neutral
yes thanks great. soooooo NEG_looking NEG_forward NEG_to NEG_monday,neutral,positive
got appt. w doctor pm today look bites . hoping infection. need powerful anti itch cream.,neutral,positive
shoping till drop david..haha..enjoy day,positive,neutral
case missed fb status looking maui hotel recommendations. yes maui!,negative,neutral
sad. last entrance cal academy science pm. zipcode free day too.,positive,neutral
garden going well almost corn peas NEG_onions NEG_or NEG_beets NEG_up NEG_yet NEG_though.,positive,neutral
congrats! cuss like matter minutes know reward it.,neutral,positive
getting axkit running ubuntu . making head explode.,negative,neutral
hope NEG_promises NEG_they NEG_all NEG_my NEG_kids NEG_and NEG_the NEG_dog NEG_at NEG_the NEG_moment NEG_a NEG_couple NEG_of NEG_flowers NEG_too,positive,neutral
chillin break eatin grub. pretty burnt eventful day. wanting go movies ian NEG_happening NEG_though.,negative,positive
haha calm down. youll get ur shades. still sick tho. prolly knockout,negative,neutral
kellie major problem okay. alex is? kellie hahahahahahahaa face,positive,negative
went piggy bank man hell lot money there! easily live next weeks,positive,neutral
lol know feel kids current work load maxed NEG_time NEG_to NEG_grow NEG_things.,neutral,negative
bummer. macbook bugging mac heads want lend helping hand.,negative,neutral
oops would,negative,neutral
ohio lovers tattoo got design shirt.. haha lost shirt,negative,neutral
c. NEG_excuses NEG_i NEG_just NEG_love NEG_bein NEG_comfy,positive,neutral
shame dont still compaq portable really anything portable lmao last tweet toodle pip,negative,neutral
it. look well. go home.,negative,neutral
NEG_wayyy NEG_that NEG_s NEG_too NEG_funny. NEG_well NEG_he NEG_sure NEG_is NEG_missing NEG_out NEG_but NEG_ever NEG_since NEG_you NEG_left NEG_i NEG_feel NEG_i NEG_am NEG_too NEG_when NEG_is NEG_your NEG_next NEG_visit?,neutral,negative
watching dr. horrible . mad!,neutral,negative
want !!!! going cry way home!!!,negative,neutral
well pray you.....,positive,neutral
follow fridays make feel really unpopular,negative,neutral
meet zombie expert believe..,positive,neutral
mailed something got e mail probly mean get,negative,neutral
welcome! math really NEG_my NEG_favorite NEG_thing NEG_but NEG_it NEG_s NEG_also NEG_so NEG_useful NEG_so...,neutral,positive
bless lil socks... think need rethink age thing,positive,neutral
car NEG_happy NEG_big NEG_big NEG_dent NEG_in NEG_boot! NEG_hoping NEG_theyre NEG_going NEG_to NEG_write NEG_it NEG_off NEG_crossing NEG_fingers NEG_and NEG_waiting,neutral,negative
opened facebook account little confused really get it. twitter seems much better,positive,neutral
yip would sign dodgy sites jo... eish boet cool,negative,neutral
tough wanted hug like,negative,neutral
aww read tweet. NEG_sure NEG_about NEG_later NEG_either NEG_work NEG_too NEG_feel NEG_it NEG_for NEG_us,positive,neutral
start eating healthy,positive,neutral
download movie still waiting... cool,positive,neutral
kelly share last name wouldnt sweet related,positive,negative
exchange story gone yaaaay! sweet charity,neutral,positive
jerk josh! even come meet im thinking number guess ?,negative,neutral
NEG_mothers NEG_day NEG_on NEG_the NEG_west NEG_coast NEG_tyvm,positive,neutral
lol see sunburnnn NEG_achurley NEG_that NEG_bad NEG_least NEG_i NEG_dont NEG_think NEG_it NEG_is NEG_xd,neutral,positive
immense pleasure entertained pride prejudice rd time must say find much agreeable,positive,neutral
nin app gets rejected apple reznor threatens go jailbreak always entertaining,negative,neutral
know make us watch awards sunday! lol..i want shower NEG_water!,negative,neutral
wants welcome back plurk again!,positive,neutral
going hong kong tonight. hope sleep airplane. worth case last g. musso read,neutral,positive
wanted go birthday...,positive,neutral
bummer yo. starting finals soon...so guess see around second week june then.,negative,neutral
yeah exactly fans overpower haters anyday u know wat wat u wnt dnt even care anymore know truth,negative,neutral
totally! waitin somethin new thought provoking mj.name,positive,neutral
want rain today! like full thunderstorm style! probably,positive,neutral
aww sry yesterday ....,negative,neutral
thinking ways promote indie designers. benefiting moi thoughts? indies say?,positive,neutral
cat fell bed lmfao bless her. got fright,neutral,positive
july! soo stoked!!!! especially since sleeps us lol refuses wear diapers anymore,positive,neutral
changed mind dammit!! tsar change mind time without NEG_prior NEG_notice,negative,neutral
resort wearing today cause finished laundry. lol.,positive,neutral
thanks! registered,neutral,positive
de wereld need ppl like you!,positive,neutral
yeah jus glad thunder stopped .,positive,neutral
u got real excited cause thought teniece twitter...,neutral,positive
wrong? maybe help?,neutral,negative
pinging b pathetic mom best friend hell know talk mom bout everything everythinggg,positive,neutral
guess get dressed pretty,neutral,positive
knock playing now...again!!! cna day get better?? love it!! r u? missed u,neutral,positive
ticket boyfriend might rain budget...boo! tho,positive,neutral
b know worth people actually showed lol,neutral,positive
NEG_impressed NEG_that NEG_it NEG_almost NEG_always NEG_rains NEG_on NEG_bank NEG_holidays NEG_!! NEG_stil... NEG_it NEG_s NEG_a NEG_free NEG_day NEG_college,negative,neutral
yehey summer!! exciteeeddd.. balme alcohol.,positive,neutral
toothache,negative,neutral
years months!! hooorah! wait!,positive,neutral
hmmm realized....i bday cake birthday...boo hoo!,positive,neutral
th may officially announced bad luck day ..,negative,neutral
daaammmnnnnn wish there.,negative,neutral
wahahahaha!! wanna naaaaa!!! well...hapit na guess. hahahaha yes know!!! hahahaha lol narn! haha joke,positive,neutral
also used close adiel sabby. changed alot. like sec .,positive,neutral
omj qot home party! oo a.m! man tired! goodniqht happy mother day all!!! take care god bless!,neutral,positive
vote rob,neutral,negative
think bicycle freaked custodian let building let key,negative,neutral
let sun catch crying oh my.. cool,positive,negative
NEG_idea NEG_i NEG_m NEG_watching NEG_rafa NEG_too. NEG_running NEG_to NEG_the NEG_comp NEG_ever NEG_to NEG_often NEG_to NEG_check NEG_live NEG_score. NEG_he NEG_s NEG_down NEG_in NEG_the NEG_third.,negative,neutral
didnt cry end sad see last episode er. man good series.,neutral,negative
want comment understand saying,negative,neutral
threads show women men alike screwed struggle real honest relationships,neutral,negative
bad words crutch lead tattoos peircings! hahahaha!,neutral,negative
hungry sub,neutral,negative
awesome! everyone go see it. stupid theatre show pixar short film.,neutral,negative
late sick kid home hope feels better later tonite,negative,neutral
realized NEG_cool NEG_enough NEG_to NEG_ever NEG_get NEG_a NEG_shout NEG_out NEG_from NEG_this NEG_player NEG_will NEG_be NEG_playing NEG_on! NEG_hahahah,neutral,negative
ohh emmm geee. souvlaki dimitris...i wanna go homeeee lol,positive,neutral
aww friend called said got better job working anymore,negative,neutral
must ask cubs fans. fathom myself.,negative,neutral
went get groceries...prices inflating gas went another cents hit . ...,negative,neutral
want work tomorrow. feel good. felt good days body needs rest mind slow down!,negative,neutral
follow dreams chase them. richard dumb think smart,positive,neutral
pooooor baby dog chachi surgery todayyyyy,negative,neutral
indian hehe true got color advantage complete americans,neutral,positive
went green yesterday missed get another certificate????,neutral,negative
upset,neutral,negative
lllooovvveee icarly,positive,neutral
nothing except right eassy due monday,negative,neutral
yes though perhaps thinking. like vague. seems popper term you.,negative,neutral
know stink birthdays sorry bra hope fun anyhow spite me!,neutral,negative
feeling deflated. hubby saw swing set thinks piece junk. thought found something good kids,neutral,positive
always self thing go without NEG_problem NEG_and NEG_do NEG_you NEG_even NEG_try NEG_hard NEG_to NEG_be NEG_your NEG_self NEG_... NEG_just NEG_be NEG_...and NEG_smile,positive,negative
coool. weekend great eeeh. whattttever. friday better expected i...,neutral,positive
get motivated fact know wake productive go sleep though,positive,neutral
best friend away special olympics . said gonna bring .,positive,neutral
quite like baseball bball oh odd gridiron match tiny tiny part worlds population calls football,positive,neutral
today salute mothers honour feminine....and time beer,positive,neutral
tierd.i want talk,negative,neutral
gonna miss grand prix.i going try sneak back room,negative,neutral
past already spoiled rotton,negative,neutral
official liberty grand new fave reception venue... blog shots tuesday,neutral,positive
not? retarded thing someone could th know like retarded.,neutral,negative
id happy thats friday didnt work tomorrow blah,neutral,positive
sorry hear that. optimist things get better. us.,negative,neutral
think always offtopic sometimes inappropriate germination fruit picking jokes etc,negative,neutral
dizzy already third page chapter plops head,negative,neutral
never NEG_give NEG_up NEG_on NEG_something NEG_you NEG_can NEG_t NEG_go NEG_a NEG_day NEG_without NEG_thinking NEG_about. NEG_i NEG_like NEG_that NEG_quote.,positive,neutral
instead telling god big problems like telling problems big god is!,neutral,negative
nope think will. thnx asking lol fine,positive,neutral
wow...you leave facebook alone weekend get new notifications. whew!,positive,neutral
havnt gotten months ex seems dating spark anymore still love loser left,negative,positive
one good bad ugly,neutral,negative
like triple got lot well. well done,positive,neutral
deleted lott facebook friends ask friend want. NEG_idgaf,negative,neutral
NEG_free NEG_ice NEG_cream NEG_though,negative,neutral
